,text,Degree of Injury
3790,employe die of natur caus befor fall of work platf,Fatal
3791,painter found unrespons and determin to have been elect,Fatal
3792,employe pin by truck is kill,Fatal
3793,employe is pin between truck and boom and is kill,Fatal
3794,employe is kill when pin between two vehicles.,Fatal
3795,employe is kill when pin by truck,Fatal
3796,one employe kill one injur due to argon gas,Fatal
3797,one employe kill one injur due to argon gas,Fatal
3798,employe is crush and kill between water truck and milli,Fatal
3799,employe fall from height and is kill,Fatal
3800,employe kill when struck by a fall object,Fatal
3801,employe fall from bulldoz and is kill,Fatal
3802,employe stab and is kill,Fatal
3803,employe die from heart attack,Fatal
3804,employe is kill when trench collaps,Fatal
3805,employe collaps from heart attack in confin space and d,Fatal
3806,tree trimmer fall 40 feet from tree and is kill,Fatal
3807,employe fall two stori and is kill,Fatal
3808,employe is crush by unsecur forklift load,Nonfatal
3809,employe struck and kill by motor grader,Fatal
3810,employe on drill platform is kill after fall 120 fe,Fatal
3811,employe fall from roof and is kill,Fatal
3812,employe fall 20 feet from roof and is kill,Fatal
3813,employe struck and kill by semi-tractor trailer.,Fatal
3814,employe fall from elev posit and is kill,Fatal
3815,employe fall from trailer and is killed.,Fatal
3816,employe fall from ladder to the ground and is kill,Fatal
3817,employe is kill when tractor trailer fall off jack,Fatal
3818,employe is crush by vacuum tank and kill,Fatal
3819,employe fall from tree and is kill,Fatal
3820,employe is kill fall from ladder,Fatal
3821,employe fall on ice in park lot and is kill,Fatal
3822,"disgruntl worker is shot, after shoot co-work",Fatal
3823,"employe trim tree from platform, fall and is kill",Fatal
3824,"one employe is killed, three injured, when atv overturn",Fatal
3825,employe electrocut while repair a hotel air conditioni,Fatal
3826,employe is kill when caught in agricultur tiller,Fatal
3827,employe is crush and kill under truck,Fatal
3828,employe is struck and kill by back dump truck,Fatal
3829,employe struck and kill by fall elev car,Fatal
3830,employe kill in fall from ladder,Fatal
3831,employe enter vessel and is killed.,Fatal
3832,employe is crush and kill by when forklift over turn,Fatal
3833,employe fall and is kill while fell a tree,Fatal
3834,employe is kill when caught in tractor pto,Fatal
3835,employe is struck and kill when valv explod,Fatal
3836,employe is struck and kill by fall log,Fatal
3837,employe has heart attack and die,Fatal
3838,employe fractur back in fall from attic,Nonfatal
3839,employe is kill when truck run off road,Fatal
3840,employe is struck and kill by vehicl,Fatal
3841,employe collaps and later die from blood clot,Fatal
3842,employe is electrocut when trim tree,Fatal
3843,a nurs is shot and kill while at work,Fatal
3844,roofer fall from roof and is killed.,Fatal
3845,employe is kill by explod tire,Fatal
3846,roofer fall to concret driveway and is kill,Fatal
3847,employe is kill in scrubber,Fatal
3848,employe is run over by tripper machin and kill,Fatal
3849,employe is struck and kill by fall steel tube,Fatal
3850,employe die from heart attack,Fatal
3851,employe is struck and kill by vehicl while set up wo,Fatal
3852,employe struck by fall equip is kill,Fatal
3853,employe struck by fall equip is kill,Fatal
3854,employe struck by an off road fork truck.,Fatal
3855,employe fall through roof open and is kill,Fatal
3856,employe is kill by fall tree,Fatal
3857,employe drown in ocean dure a swim test,Fatal
3858,employe is run over and kill by garbag truck,Fatal
3859,employe fall from ladder and is kill,Fatal
3860,employe is struck and kill by fall object,Fatal
3861,employe fall from mezzanin and is kill,Fatal
3862,employe die from a heart attack,Fatal
3863,employe fall from elev tower and is kill,Fatal
3864,employe is struck and kill by deliveri truck,Fatal
3865,employe is electrocut and kill by contact with energ,Fatal
3866,employe is kill when crush by industri truck,Fatal
3867,employe is struck and kill by fall tree,Nonfatal
3868,employe is crush and kill in trash compactor,Fatal
3869,employe drown after drive feed truck into non-enclos m,Fatal
3870,employe collaps from cardiac arrest,Fatal
3871,employe is struck and kill by forklift,Fatal
3872,employe is kill when crush while clean a hay bailer/,Fatal
3873,employe is kill when caught in a foundri sand core machin,Fatal
3874,employe fall from 8-foot ladder and is kill,Fatal
3875,employe is kill by burn from ignit an oxyacetylen to,Fatal
3876,employe is electrocut and kill,Fatal
3877,employe crush and kill in a trench collaps,Fatal
3878,employe is kill by inhal of fume from acetylen tor,Fatal
3879,employe die from heart diseas,Fatal
3880,employe is kill when gasolin can explod,Fatal
3881,employe is kill by heart attack,Fatal
3882,employe is crush by vehicl when lift collaps,Fatal
3883,employe is struck and kill by truck,Fatal
3884,employe is kill by heart attack,Fatal
3885,"two employe struck by automobile, kill one.",Fatal
3886,employe is kill when caught in grain elev,Fatal
3887,employe is electrocut when pole saw contact power line,Fatal
3888,two employe struck by semi-truck and one is kill,Fatal
3889,employe fall from conveyor and is kill,Fatal
3890,employe is kill in feed mill explos,Fatal
3891,employe is crush under an elev forklift while perform,Fatal
3892,employe is caught in muller mixer and kill,Fatal
3893,employe fall from flatb of a tractor trailer and is kill,Fatal
3894,employe is kill by heart attack,Fatal
3895,employe fall from same level,Nonfatal
3896,employe struck and kill by truck at a landfil,Fatal
3897,employe die from brain aneurysm,Fatal
3898,employe is caught in mast of fork lift and is kill,Fatal
3899,employe is kill when caught in mast of fork lift,Fatal
3900,21 foot fall from make-shift scaffold,Fatal
3901,employe is kill when struck-bi a trailer,Fatal
3902,employe is struck by object and kill,Fatal
3903,employe is kill when he fall from the mast,Fatal
3904,employe collaps due to a heart attack,Fatal
3905,employe fall from fire escap and is kill,Fatal
3906,employe is kill dure a store robberi,Fatal
3907,employe work under a trailer is crush and kill,Fatal
3908,employe caught between a wind conveyor part and is kill,Fatal
3909,employe is crush and kill,Fatal
3910,employe sustain a heart attack and die,Fatal
3911,employe is kill when caught between a slide door and fr,Fatal
3912,employe fall from roof and is kill,Fatal
3913,employe is crushed-bi front end loader,Fatal
3914,employe is kill when forklift fall off load dock,Fatal
3915,employe is kill when caught in mixer,Fatal
3916,employe has heart attack and die,Fatal
3917,employe fall from a crane and is kill,Fatal
3918,employe fall 16 feet and is kill,Fatal
3919,employe make direct contact with energ conductor and i,Fatal
3920,employe is caught by move part and kill,Fatal
3921,employe caught in elev door and killed.,Fatal
3922,employe has a heart attack a die,Fatal
3923,employe is struck and kill by a fall tree,Fatal
3924,employe fall from tractor and is run over and kill by tr,Fatal
3925,employe die of unknown natur caus,Fatal
3926,employe is kill when pin between the tractor cab and a,Fatal
3927,employe fall from roof and is kill,Fatal
3928,two employe stuck by suv and kill one,Fatal
3929,employe is caught in lath machin and is kill,Fatal
3930,employe strike head and is kill,Fatal
3931,employe slip on ice and is kill,Nonfatal
3932,employe crush and kill when stone slab bundl break,Fatal
3933,employe fall from 24 foot extens ladder and is kill,Fatal
3934,employe fall from ladder and is kill,Fatal
3935,employe crush by vehicl is kill,Fatal
3936,employe was struck and kill by skid steer compact track l,Fatal
3937,employe struck and kill by box truck,Fatal
3938,employe struck and kill by a fall bale of hay,Fatal
3939,employe is struck and kill by a dump truck,Fatal
3940,school employe struck by bus,Fatal
3941,employe is struck and kill by tractor trailor,Fatal
3942,employe is kill when trench collaps,Fatal
3943,employe die from cardiac arrest,Fatal
3944,employe is kill by electr shock and fall,Fatal
3945,employe is kill when crush by fall concret panel wa,Fatal
3946,employe is struck and kill by fall debri,Fatal
3947,employe is caught between in-turn nip point roller and ,Fatal
3948,employe struck and kill by crucibl,Fatal
3949,employe is crush by fall panel,Fatal
3950,employe kill in fall from a-fram ladder,Fatal
3951,employe die from a self-inflict gun shot.,Fatal
3952,employe fall and is kill,Fatal
3953,employe found dead insid a trailer,Fatal
3954,employe fall through a skylight and is kill,Fatal
3955,employe is kill when struck by truck,Fatal
3956,employe die from a pulmonari embol and is burn,Fatal
3957,employe fall from ladder and is kill,Fatal
3958,"employe falls, break leg, and later die from complic",Fatal
3959,employe is struck and kill by vehicl on roadway,Fatal
3960,employe is struck and kill by fall truck wall panel,Fatal
3961,employe is crush and kill by print machin,Fatal
3962,employe die when struck by a fall object,Fatal
3963,employe is struck and kill by tractor trailer,Fatal
3964,employe is burn in explos and later die,Fatal
3965,employe drive truck suffer head injuri in collis and ,Fatal
3966,employe is struck and kill by trailer truck,Fatal
3967,employe is struck and kill by skid steer loader,Fatal
3968,employe is kill in fall from roof,Fatal
3969,employe is caught in conveyor belt and kill by asphyxiati,Fatal
3970,cashier shot and kill dure a robberi,Fatal
3971,employe is kill when crush by a concret riser,Fatal
3972,"employe is caught in conveyor, is asphyxi and kill",Fatal
3973,employe is kill in fall from scaffold,Fatal
3974,employe fall off ladder and later die,Fatal
3975,employe die after be run over by forklift,Fatal
3976,employe is struck and kill by forklift,Fatal
3977,employe is struck by avalanch and is kill,Fatal
3978,employe die of natur caus,Fatal
3979,employe on roof has heart attack and die,Fatal
3980,employe fall off a stacker conveyor and is killed.,Fatal
3981,employe die from heart attack,Fatal
3982,employe is pin between a truck and a trailer and is kill,Fatal
3983,employe is struck by valv and is kill,Fatal
3984,employe is caught in baler and kill,Fatal
3985,two employe are kill in a truck roll-ov,Fatal
3986,employe fall through skylight and is kill,Fatal
3987,employe is electrocut when he come into contact with ove,Fatal
3988,employe is crush by pile of sulfur materi and is kil,Fatal
3989,employe is kill when he fall through stairway open,Fatal
3990,employe is kill in fall from scissor lift,Fatal
3991,employe is kill when struck by fall concret,Fatal
3992,employe is kill in 24-foot fall,Fatal
3993,employe fall from tanker and is kill,Fatal
3994,employe is eject from golf cart and kill,Fatal
3995,employe fall into delawar river and drown,Fatal
3996,employe is kill when electrocut,Fatal
3997,employe is burn by hot water and is kill,Fatal
3998,employe fall from pallet rack to concret floor and is kil,Fatal
3999,employe kill in fall from ladder,Fatal
4000,employe fall 50 feet from an aerial lift bucket and is kil,Fatal
4001,employe is struck and kill by motor vehicl,Fatal
4002,employe is crush between two truck trailer and is kill,Fatal
4003,employe struck by a lath bar is kill,Fatal
4004,employe kill in rotat clutch assembl,Fatal
4005,employe is struck and kill while weed grass,Fatal
4006,employe struck and kill by garbag truck,Fatal
4007,employe fall from ladder and is kill,Fatal
4008,employe struck by door is kill,Fatal
4009,employe crush in conveyor system is kill,Fatal
4010,worker is stab and die,Fatal
4011,employe fall from a ladder and is kill,Fatal
4012,worker drown in river,Fatal
4013,worker fall from scaffold and is kill,Fatal
4014,worker die from drug overdos,Fatal
4015,worker is crush and kill by skid steer boom,Fatal
4016,worker is struck by tree and die,Fatal
4017,one worker die and anoth becom unconsci after chemic,Fatal
4018,employe get caught in conveyor belt and die,Fatal
4019,worker fall from scaffold and is kill,Fatal
4020,worker is struck and kill by industri tow tractor,Fatal
4021,employe is kill when struck by an automobil insid the w,Fatal
4022,worker is stuck by fall tree and die,Fatal
4023,worker fall from trailer and die,Fatal
4024,employe is kill when struck by a vehicl,Fatal
4025,worker is caught by rotat shaft and die,Fatal
4026,employe is kill when struck-bi an excav and partial,Fatal
4027,worker fall and is kill,Fatal
4028,worker fall from util pole and die,Fatal
4029,employe is kill when he when crush by an excav,Fatal
4030,employe fall from a ladder and is kill,Fatal
4031,employe is struck by tree branch and kill,Fatal
4032,worker die from fall,Fatal
4033,worker die from asphyxi when crush by elev,Fatal
4034,worker is caught in between tow trailer and is kill,Fatal
4035,worker is kill in chemic fire explos,Fatal
4036,employe is crush and kill by load of lumber,Fatal
4037,worker is struck and kill by forklift,Fatal
4038,worker is stab and die,Fatal
4039,worker fall from tractor and is kill when run over,Fatal
4040,worker is crush and kill dure log cut,Fatal
4041,employe fall through sky light and is kill,Fatal
4042,employe is crush when a concret wall fall,Fatal
4043,worker is kill in offic build fire,Fatal
4044,employe is kill when oil tank explod,Fatal
4045,employe drown when boat capsiz in river,Fatal
4046,employe lose conscious and die while pack move t,Fatal
4047,employe is kill in fall from tree,Fatal
4048,employe is kill when struck by tower crane pin,Fatal
4049,employe suffer heart attack while pick up trailer,Fatal
4050,employe is injur in fall; die later,Fatal
4051,employe is crush when forklift fall from load dock,Fatal
4052,employe is kill when buri in grain,Fatal
4053,employe drown while clean custom pool,Fatal
4054,employe work alon found dead from unknown caus,Fatal
4055,employe is kill in warehous fall,Fatal
4056,employe is found dead in park lot,Fatal
4057,"employe injur oper a mill machine, later die",Fatal
4058,employe fall from a platform dure demolit and is kill,Fatal
4059,employe die from heart problem when pull data wire,Fatal
4060,employe crush by tree trunk,Fatal
4061,employe is struck by vehicl and is kill,Fatal
4062,employe is crush when vehicl fall from hydraul lift,Fatal
4063,employe is struck by pipe and killed.,Fatal
4064,two employe are struck by trailer; one die,Fatal
4065,employe die when struck by motor vehicl engin,Fatal
4066,employe is kill when struck by tree branch,Fatal
4067,employe is kill when pull into conveyor,Fatal
4068,employe is kill in fall from ladder,Fatal
4069,employe is found unrespons,Fatal
4070,employe drown when tractor cab fall into canal,Fatal
4071,employe die in slip and fall,Fatal
4072,employe suffer heart attack,Fatal
4073,employe is kill when overcom by smoke inhal,Fatal
4074,employe is overcom and is kill by smoke inhal,Fatal
4075,employe is kill dure basement fire,Fatal
4076,employe is kill when pressur tire explod,Fatal
4077,employe suffer carbon monoxid poison and is kill,Fatal
4078,employe is overcom and kill by carbon monoxid,Fatal
4079,employe fall through hole in roof and is kill,Fatal
4080,employe is kill in fall from ladder,Fatal
4081,employe fall from roof and is kill,Fatal
4082,employe is kill when run over by golf cart,Fatal
4083,employe is crush between dump truck frame and box,Fatal
4084,employe is overcom by fume and pronounc dead,Fatal
4085,employe is crush by granit slab,Fatal
4086,employe is kill when struck by fall tree,Fatal
4087,employe is kill when grinder kick back and strike emplo,Fatal
4088,employe is shot and kill dure robberi,Fatal
4089,employe is kill in fall from tree,Fatal
4090,employe is kill when set on fire,Fatal
4091,employe is kill when set on fire,Fatal
4092,employe is kill in fall from scaffold,Fatal
4093,employe fall from roof and is kill,Fatal
4094,employe is kill dure robberi,Fatal
4095,employe is crush between excav cab and arm,Fatal
4096,employe fall through roof and is kill,Fatal
4097,employe is crush by fall barrel of oil,Fatal
4098,employe is crush while free jam in machin,Fatal
4099,employe crush by fall by fall crane and is kill,Fatal
4100,employe is kill when caught between the boom and truck,Fatal
4101,employe drown when trackho overturn into excav fill,Fatal
4102,employe fall through floor open dure fire and is kill,Fatal
4103,employe is electrocut when wooden extens pole contact,Fatal
4104,employe is found unconsci at top of basement ramp,Fatal
4105,employe is electrocut while pull wire to a junction b,Fatal
4106,employe fall from ladder while splice cabl and is kill,Fatal
4107,employe is stab by front loader mast and is kill,Fatal
4108,employe drive down embank and is kill,Fatal
4109,employe is pin against a beam and is kill,Fatal
4110,employe is kill,Fatal
4111,employe fall through skylight and is kill,Fatal
4112,"employe fall from an elevated, unsecur platform and is k",Fatal
4113,employe fall from ladder while remov side and is kill,Fatal
4114,employe die of heart attack while repair a brick wall,Fatal
4115,employe fall from ladder and is kill,Fatal
4116,employe is kill after fall through skylight,Fatal
4117,employe fall through skylight and is kill,Fatal
4118,employe fall through skylight and is kill,Fatal
4119,employe fall from storag tank and is kill,Fatal
4120,employe is kill when train strike dump truck,Fatal
4121,employe is kill when caught in set machin,Fatal
4122,employe is kill in fall from roof,Fatal
4123,employe is crush when trap between shelv and a pit ,Fatal
4124,employe is kill when struck by an autom forklift,Fatal
4125,employe is electrocut while instal an actuat in a j,Fatal
4126,"electrician receiv electr shock while on ladder, falls, ",Fatal
4127,employe is kill when struck by fall debri dure demo,Fatal
4128,employe is kill dure fall from elev work platform,Fatal
4129,employe fall from swing-stag scaffold and is kill,Fatal
4130,employe is kill when struck in head by rebar,Fatal
4131,employe is kill when struck by boom arm that collaps,Fatal
4132,employe run over by truck back up and is kill,Fatal
4133,employe is kill by collaps foundat wall in excavati,Fatal
4134,roofer is electrocut when contact high voltag overhead,Fatal
4135,one employe is kill by wood chipper; anoth suffer hear,Fatal
4136,employe is run over and kill by dump truck,Fatal
4137,employe is kill in fall from roof,Fatal
4138,employe found unrespons at tower base,Fatal
4139,employe is struck and kill by fall concret,Fatal
4140,employe fall from move truck and is kill,Fatal
4141,employe is crush when load vehicl onto a truck bed,Fatal
4142,employe is struck and kill by motor vehicl,Fatal
4143,employe die in fall when aerial lift over turns.,Fatal
4144,employe is injur while cut tree and later die,Fatal
4145,employe kill when run over by a tow truck,Fatal
4146,employe fall off garbag truck and is kill,Fatal
4147,one employe kill while anoth injur by collaps conv,Fatal
4148,employe is kill after inhal aluminum oxid while treat,Fatal
4149,employe is kill when struck by a pass motorist,Fatal
4150,employe struck by air compressor when the rig becam un,Fatal
4151,employe fall from step ladder and is kill,Fatal
4152,employe is electrocut while trim tree near power lin,Fatal
4153,employe is kill while clean storag tank from lack of ,Fatal
4154,employe fall from roof through skylight and die from head,Fatal
4155,employe die from heart attack,Fatal
4156,employe strike power line with auger and is electrocut,Fatal
4157,two employe enter oxygen defici environ and are kil,Fatal
4158,employe roll over atv and is kill,Fatal
4159,employe is crush by steel plate while demolish an obso,Fatal
4160,employe is crush by fall vehicl and kill,Fatal
4161,employe is run over by industri truck and kill,Fatal
4162,employe fall from roof and die from head injury.,Fatal
4163,employe fall from ladder while tree trim and is kill,Fatal
4164,employe die of blood clot,Fatal
4165,employe instal gutter fall from ladder and is kill,Fatal
4166,employe is buri under hay and kill,Fatal
4167,employe is struck by pneumat hopper lid and kill,Fatal
4168,employe fall into tank and is asphyxi,Fatal
4169,employe is pull into metal lath and kill,Fatal
4170,employe is crush by trailer and kill,Fatal
4171,employe struck and kill by fall steel column,Fatal
4172,employe fall through skylight and is kill,Fatal
4173,employe is run over by truck and kill,Fatal
4174,construct superintend die of heart attack,Fatal
4175,employe is crush by fall forklift and is kill,Fatal
4176,employe is run over by truck and is kill,Fatal
4177,employe is struck by fall tree and kill,Fatal
4178,employe is crush and kill in tractor roll over,Fatal
4179,employe work from boat drown in river,Fatal
4180,employe is caught between truck and storag tank and kill,Fatal
4181,employe is struck and kill by fall tree,Fatal
4182,employe fall from ladder and is kill,Fatal
4183,employe caught between tire and crane and is kill,Fatal
4184,employe is crush under forklift and is kill,Fatal
4185,employe is run over by dolli and kill,Fatal
4186,"employe fall from elev box, and is kill",Fatal
4187,employe die from a heart attack,Fatal
4188,"employe make contact with distribut line, is electrocut",Fatal
4189,employe contact power line with a crane and is kill,Fatal
4190,employe pin between tractor trailor and front end loader,Fatal
4191,employe suffer heart attack and die,Fatal
4192,safeti monitor fall from ladder and is kill,Fatal
4193,employe is kill in excav collaps,Fatal
4194,employe is crush and kill by fall tree,Fatal
4195,employe was run over by dump truck and is kill,Fatal
4196,employe fall through catwalk and is kill,Fatal
4197,employe instal fenc is struck and kill by truck,Fatal
4198,employe drive an atv roll into an canal and is kill,Fatal
4199,employe die after exposur to diesel fuel addit,Fatal
4200,employe work along road is struck and kill by vehicl,Fatal
4201,employe contact ladder with electr line and is electro,Fatal
4202,employe contact ladder with electr line and is electro,Fatal
4203,employe is crush and kill by a street sweeper,Fatal
4204,employe is struck by detach excav bucket and is kill,Fatal
4205,employe is kill dure arm robberi,Fatal
4206,employe fall from roof and die from injuri,Fatal
4207,"employe on ladder sustain electr shock, falls, and is ki",Fatal
4208,employe is struck by fall wood mat and is kill,Fatal
4209,technician is crush and kill by dock platform,Fatal
4210,one employe is kill and anoth injur in tank explos,Fatal
4211,employe mark chalk line on roof fall and is kill,Fatal
4212,employe fall under scaffold midrail and is kill,Fatal
4213,employe is attack and kill by patient,Fatal
4214,employe fall from elev scissor lift and is kill,Fatal
4215,demolit worker is kill in fall from collaps platform,Fatal
4216,employe is caught by move machineri and kill,Fatal
4217,employe is run over and kill,Fatal
4218,employe instal metal deck fall from roof and is kil,Fatal
4219,employe fall from roof access ladder and die soon after,Fatal
4220,employe instal pipelin is kill in trench collaps,Fatal
4221,employe is crush and kill by log equip,Fatal
4222,worker is kill in fire when tractor shank strike natur ,Fatal
4223,employe struck by tree limb is kill,Fatal
4224,worker is electrocut,Fatal
4225,employe suffer overexposur to carbon dioxid fume and is,Fatal
4226,an employe in a cano fall into a lake and drown,Fatal
4227,employe work from ladder on a scaffold fall and is kill,Fatal
4228,"employe fall from scaffold, sustain head trauma, and is k",Fatal
4229,employe fall from scaffold/ladd and is kill when head ,Fatal
4230,employe is caught in machineri and kill,Fatal
4231,highway flagger is run over and kill by trash truck,Fatal
4232,employe is struck by fall scaffold barrier and is kill,Fatal
4233,road construct worker is run over and kill by garbag t,Fatal
4234,employe struck in the head by pressur object is kill,Fatal
4235,employe is crush beneath mobil home and kill,Fatal
4236,employe is attack by bull and kill,Fatal
4237,employe is struck and kill by vehicl while collect tr,Fatal
4238,employe fall from catwalk dure explos and is kill,Fatal
4239,excav compani owner is kill in trench collaps,Fatal
4240,employe fall from roof and is kill,Fatal
4241,employe fall from roof and is kill,Fatal
4242,employe instal solar panel fall and is kill,Fatal
4243,employe fall and is kill dure intern demolit,Fatal
4244,employe is struck by car and kill,Fatal
4245,employe is fatal crush while demolish pump jack,Fatal
4246,employe servic temperatur relay is electrocut,Fatal
4247,employe is run over by forklift and kill,Fatal
4248,employe is pin by car and kill,Fatal
4249,employe is run over by tractor with mower and kill,Fatal
4250,employe is eject from vehicl and kill,Fatal
4251,worker fall from ladder stand and is kill,Fatal
4252,employe instal drain pipe is kill in trench collaps,Fatal
4253,employe leg are amput in tanker trailer explosion; e,Fatal
4254,worker fall from flatb trailer and sustain fatal ruptur,Fatal
4255,"worker dies, caus unknown",Fatal
4256,welder fall from explod tank and is kill,Fatal
4257,worker is struck by fall i-beam and is kill from injuri,Fatal
4258,worker is struck and kill by fell tree,Fatal
4259,worker is run over by forklift and is kill,Fatal
4260,worker is struck by tree and is kill,Fatal
4261,worker is fatal crush under precast concret wall panel,Fatal
4262,worker pin by trailer and is kill,Fatal
4263,employe fall through floor open and is kill,Fatal
4264,worker die of unknown injuri,Fatal
4265,worker instal side fall from scaffold and is killed.,Fatal
4266,a worker is struck and kill by vehicl,Fatal
4267,construct compani owner is kill in fall from roof,Fatal
4268,worker is kill in flash fire,Fatal
4269,worker is struck and kill by a fli tank lid,Fatal
4270,employe drive dump truck off an embank and later die,Fatal
4271,employe is struck by a hoist hook and kill,Fatal
4272,worker is kill when struck by spoon bar,Fatal
4273,worker is kill dure pump of manur,Fatal
4274,worker is struck and kill by tractor trailer,Fatal
4275,one employe kill and one injur in build collaps,Fatal
4276,worker is kill when tire explod,Fatal
4277,worker is struck and kill by motor vehicl,Fatal
4278,employe contact power line and is kill,Fatal
4279,employe is struck by a tree and is kill,Fatal
4280,employe fall through ceil and is kill,Fatal
4281,worker is struck and kill by forklift,Fatal
4282,worker die from medic condit,Fatal
4283,worker is crush and kill by split coil,Fatal
4284,worker is crush and kill by fall steel coil.,Fatal
4285,employe fall from elev surfac and is kill,Fatal
4286,employe is struck by bulldoz and kill,Fatal
4287,worker suffer heart attack and die,Fatal
4288,worker suffer heart attack and die,Fatal
4289,worker is pull into move equip and is kill,Fatal
4290,two worker are kill in a tank explos,Fatal
4291,employe contact energ thermocoupl and is kill,Fatal
4292,worker is struck and kill by a tractor trailer,Fatal
4293,worker is struck by fall object and is kill,Fatal
4294,worker is struck and kill by a fall mower deck,Fatal
4295,employe is struck by a railroad track rail and kill,Fatal
4296,worker is shot and kill dure robberi,Fatal
4297,employe struck by plug from releas of pressur and later d,Fatal
4298,worker fall from ladder and is kill,Fatal
4299,worker fall from elev platform and is kill,Fatal
4300,employe fall through roof open and is kill,Fatal
4301,employe is caught in between a trench and trench equipm,Fatal
4302,worker is crush and kill by fall lift arm attach,Fatal
4303,worker fall from elev work platform and is kill,Fatal
4304,worker die from brain aneur,Fatal
4305,employe is struck by steel coupler and kill,Fatal
4306,worker is struck and kill by payload,Fatal
4307,truck driver is kill when run over by truck,Fatal
4308,employe contact power line and fall from height and is ki,Fatal
4309,worker fall through skylight and die,Fatal
4310,employe caught in or between rop and is kill,Fatal
4311,worker die from heart attack,Fatal
4312,worker is crush by vehicl dure servic,Fatal
4313,worker is electrocut,Fatal
4314,employe overturn excav and is kill,Fatal
4315,worker is kill when crush by dump truck gate,Fatal
4316,employe fall off roof and is kill,Fatal
4317,employe feel ill and later die,Fatal
4318,employe kill from an electr current,Fatal
4319,employe fall from 3rd stori balconi,Nonfatal
4320,worker amput hand dure mower oper,Nonfatal
4321,telecommun tower worker is crush,Fatal
4322,telecommun tower worker is crush,Fatal
4323,employe fall off scaffold and later die,Fatal
4324,employe fall into floor open and later die,Fatal
4325,worker is electrocut and fall off ladder,Fatal
4326,two employe remov road tar struck and kill,Fatal
4327,employe 1 was kill when struck by a dump truck.,Fatal
4328,crane oper is crush by steel coil,Fatal
4329,employe fall through roof and is kill,Fatal
4330,worker is thrown from forklift and die,Fatal
4331,worker suffer a stroke and die,Fatal
4332,employe is crush by forklift and kill,Fatal
4333,diver drown dure dive oper,Fatal
4334,employe die from heart attack,Fatal
4335,employe contact electr wire and is electrocut,Fatal
4336,employe contact saw blade and is kill,Fatal
4337,employe is crush by excav bucket and kill,Fatal
4338,employe fall from fifth floor balconi and is kill,Fatal
4339,employe fall from aerial ladder and is kill,Fatal
4340,employe fall on staircas and later die from injuri,Fatal
4341,employe is kill in fall from apart build,Fatal
4342,employe fall down a chimney and is kill,Fatal
4343,employe kill in fall from a breezeway bridg,Fatal
4344,employe fall through open in floor and is kill,Fatal
4345,employe die dure physic effici test,Fatal
4346,a woman remain found in a car in a park lot,Fatal
4347,employe electrocut while oper an aerial lift,Fatal
4348,employe kill when struck by pile drive compon,Fatal
4349,employe fall from ladder into water and drown,Fatal
4350,employe kill while spray wall texture	,Fatal
4351,employe fall from ladder and is kill,Fatal
4352,two employe kill in boat explos,Fatal
4353,two employe kill in an explos,Fatal
4354,employe die while hike,Fatal
4355,employe is struck and kill by fall tree,Fatal
4356,employe is struck and kill by fall log,Fatal
4357,employe is run over by tow truck and kill,Fatal
4358,employe caught between bobcat and truck and is kill,Fatal
4359,employe kill in heavi equip accid,Fatal
4360,employe fall from ladder while chang light bulb and lat,Fatal
4361,employe fall from cherri picker and is kill,Fatal
4362,employe is crush and kill by fall cement wall,Fatal
4363,employe is struck and kill by fall propan tank,Fatal
4364,employe is run over by truck and kill,Fatal
4365,employe kill when struck by motorist,Fatal
4366,employe is struck and kill by truck,Fatal
4367,employe is caught by paddl of elev and kill,Fatal
4368,employe is electrocut while pull wire through a condui,Fatal
4369,employe is kill when truck collid with cargo trailer,Fatal
4370,employe found in car with chest pain die,Fatal
4371,"employe jump over fence, break leg and later die from in",Fatal
4372,employe is struck and kill by fall load,Fatal
4373,employe is kill by explod tire,Fatal
4374,employe is kill from unprotect trench collaps,Fatal
4375,employe is kill in explos of a gas pipelin,Fatal
4376,employe kill in fall from roof,Fatal
4377,employe is kill in explos while weld,Fatal
4378,four employe are kill in an explos while weld,Fatal
4379,employe work in field die from heart failur,Fatal
4380,one employe killed; two employe are asphyxi insid tan,Fatal
4381,employe is kill in a heavi equip collis,Fatal
4382,employe is kill by possibl heart attack,Fatal
4383,employe is run over by bulldoz and kill,Fatal
4384,employe kill by seizur or stroke,Fatal
4385,employe die from heart attack or aneur,Fatal
4386,employe fall from ladder and is kill,Fatal
4387,employe is run over by railcar and kill,Fatal
4388,employe was struck and kill by an excav bucket,Fatal
4389,employe is electrocut while clean tabl saw,Fatal
4390,employe fall from tree and is kill,Fatal
4391,employe die while unload a trailer,Fatal
4392,employe is struck and kill by truck,Fatal
4393,employe fall through skylight and is kill,Fatal
4394,employe is crush while chang tire on a harvest and i,Fatal
4395,employe fall into a pulp dryer and is kill,Fatal
4396,employe fall from machin and is kill,Fatal
4397,employe is kill in fall through roof open,Fatal
4398,employe fall from front end loader and is kill,Fatal
4399,employe is struck and kill by forklift,Fatal
4400,worker is kill in fall from roof,Fatal
4401,employe struck and kill by fall concret paver,Fatal
4402,employe is kill when struck by vehicl,Fatal
4403,employe is kill when struck by attach on boom of trac,Fatal
4404,employe is crush and kill by spool of tube,Fatal
4405,employe kill while fell tree,Fatal
4406,employe kill when caught between dump truck,Fatal
4407,employe is kill in fall from roof,Fatal
4408,employe kill while oper an aerial lift,Fatal
4409,employe suffer amput of finger,Nonfatal
